bearing_deg,max_angle_deg,distance_m,terrain_elevation_m,obstruction_lat,obstruction_lon
0.0,4.9894,3003.8,1111.5,43.59452341,-116.14486000
5.0,4.9918,3003.8,1111.6,43.59442057,-116.14160918
10.0,4.3778,2503.1,1040.7,43.58967906,-116.13946300
15.0,5.9173,2503.1,1108.5,43.58925385,-116.13681594
20.0,4.5365,2503.1,1047.7,43.58866310,-116.13423017
25.0,4.4947,11514.4,1761.6,43.66134353,-116.08436691
30.0,4.0301,11514.4,1667.8,43.65716587,-116.07329555
35.0,4.3094,5506.9,1265.5,43.60807147,-116.10562905
40.0,5.4794,6007.5,1427.1,43.60888693,-116.09689776
45.0,5.2261,7008.8,1492.7,43.61206335,-116.08330169
50.0,5.8798,8510.6,1729.4,43.61667912,-116.06387400
55.0,5.6661,7509.4,1597.1,43.60622022,-116.06846107
60.0,6.4722,8010.0,1761.2,43.60349555,-116.05870857
65.0,5.7879,8010.0,1664.4,43.59791823,-116.05470967
70.0,5.6070,7509.4,1589.3,43.59057438,-116.05724152
75.0,4.8684,7509.4,1491.6,43.58495363,-116.05480390
80.0,4.3064,6007.5,1303.2,43.57686816,-116.07141665
85.0,3.5891,5506.9,1195.9,43.57180615,-116.07676423
90.0,3.1836,4505.6,1100.5,43.56749637,-116.08893646
95.0,2.9494,6508.1,1186.5,43.56238064,-116.06439577
100.0,2.9727,6508.1,1189.2,43.55731896,-116.06532219
105.0,3.0918,7008.8,1230.2,43.55116554,-116.06085478
110.0,2.4810,7008.8,1155.3,43.54592292,-116.06314335
115.0,1.9310,17521.9,1457.5,43.50074550,-115.94797372
120.0,1.9033,12515.6,1273.8,43.51115328,-116.01045450
125.0,1.8413,12015.0,1243.5,43.50546803,-116.02282590
130.0,1.6859,11514.4,1195.4,43.50089627,-116.03550106
135.0,1.5447,12015.0,1181.2,43.49105615,-116.03954313
140.0,1.6724,2002.5,907.4,43.55371324,-116.12888723
145.0,1.7251,2002.5,909.3,43.55275705,-116.13060730
150.0,2.1087,1501.9,904.2,43.55581247,-116.13554122
155.0,2.1001,1501.9,903.9,43.55526850,-116.13698350
160.0,2.0848,1501.9,903.5,43.55481767,-116.13848568
165.0,2.0261,1501.9,902.0,43.55446342,-116.14003635
170.0,1.9969,1501.9,901.2,43.55420844,-116.14162371
175.0,1.9363,1501.9,899.6,43.55405468,-116.14323568
180.0,1.8476,1501.9,897.3,43.55400329,-116.14486000
185.0,1.8228,500.6,864.7,43.56302490,-116.14540152
190.0,1.7824,500.6,864.3,43.56307616,-116.14593892
195.0,1.6715,500.6,863.3,43.56316116,-116.14646811
200.0,1.6400,500.6,863.1,43.56327926,-116.14698507
205.0,1.3079,2002.5,894.7,43.55118787,-116.15536129
210.0,1.6941,500.6,863.5,43.56361091,-116.14796666
215.0,1.5241,500.6,862.1,43.56382193,-116.14842383
220.0,1.2308,2002.5,892.0,43.55371324,-116.16083277
225.0,1.2240,2002.5,891.7,43.55477441,-116.16243136
230.0,1.2676,2002.5,893.3,43.55593249,-116.16389631
235.0,0.8869,2002.5,880.0,43.55717869,-116.16521646
240.0,0.8819,2503.1,887.6,43.55625126,-116.17176120
245.0,0.8038,2002.5,877.0,43.55989688,-116.16738335
250.0,0.7429,1001.3,861.8,43.56442970,-116.15653739
255.0,0.5510,2503.1,873.2,43.56167975,-116.17486710
260.0,0.5615,2503.1,873.6,43.56359690,-116.17545465
265.0,0.3585,4005.0,874.7,43.56436015,-116.19437807
270.0,0.2752,5006.3,874.2,43.56749317,-116.20699726
275.0,0.1061,5506.9,860.7,43.57180615,-116.21295577
280.0,0.0607,6508.1,858.1,43.57764588,-116.22442465
285.0,0.0071,8010.0,853.5,43.58611402,-116.24092169
290.0,-0.0696,5006.3,844.1,43.58289369,-116.20326486
295.0,-0.0647,5006.3,844.5,43.58652344,-116.20119328
300.0,-0.0916,6007.5,841.2,43.59450523,-116.20946392
305.0,-0.1016,6508.1,839.7,43.60106180,-116.21106673
310.0,-0.0707,40550.7,895.5,43.80127121,-116.53192499
315.0,0.0069,39549.4,945.5,43.81848329,-116.49342331
320.0,0.0747,37546.9,980.6,43.82578509,-116.44571071
325.0,0.4264,14518.1,969.2,43.67441579,-116.24840130
330.0,0.7960,14518.1,1062.8,43.68054700,-116.23512858
335.0,1.0007,2002.5,883.9,43.58383116,-116.15536699
340.0,2.0097,3003.8,954.7,43.59289360,-116.15761670
345.0,2.2011,3003.8,964.7,43.59360255,-116.15451357
350.0,2.5330,3003.8,982.1,43.59411284,-116.15133688
355.0,3.7615,3003.8,1046.7,43.59442057,-116.14811082
